Phialdelphia, PA, USA
UCLA, Los Angeles, CA
Ithaca, New York, USA
Philadelphia, PA, USA
University of Maryland College Park, College Park, MD
Ann Arbor, MI, USA
New York, NY, USA
New York, New York, USA
Phialdelphia, PA, USA
UCLA, Los Angeles, CA
Ithaca, New York, USA
Philadelphia, PA, USA
University of Maryland College Park, College Park, MD
Ann Arbor, MI, USA
New York, NY, USA
New York, New York, USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
Phialdelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
College Park, MD, USA
Ann Arbor, MI, USA
New York, NY, USA
New York, NY, USA
